0.029,0,1,431,1679,437,431,88.4,0,0,5,42
0.013,0,1,410,1595,412,410,83.4,0,5,5,42
0.01,0,1,385,1495,387,385,78.4,0,10,5,42
0.011,0,1,360,1395,362,360,73.4,0,15,5,42
0.009,0,1,337,1304,337,337,68.4,0,20,5,42
0.009,0,1,312,1206,312,312,63.4,0,25,5,42
0.009,0,1,287,1109,287,286,58.4,0,30,5,42
0.02,0,1,310,1161,310,310,63,0,35,5,42
0.007,0,1,285,1069,285,285,58,0,40,5,42
0.006,0,1,262,982,260,260,53,0,45,5,42
0.015,0,1,277,1020,278,277,56.6,0,50,5,42
0.011,0,1,253,931,253,252,51.6,0,55,5,42
0.009,0,1,229,844,228,228,46.6,0,60,5,42
0.039,0,1,352,1328,353,353,71.6,0,65,5,42
0.014,0,1,328,1238,328,328,66.6,0,70,5,42
0.007,0,1,303,1145,303,303,61.6,0,75,5,42
0.014,0,1,338,1261,341,340,69.2,0,80,5,42
0.014,0,1,315,1176,316,315,64.2,0,85,5,42
0.006,0,1,290,1084,291,289,59.2,0,90,5,42
0.013,0,1,302,1114,303,303,61.6,0,95,5,42
0.003,0,1,302,1114,303,303,61.6,0,95,5,42
