0.002,0,1,314,1056,304,304,31.4,0,0,10,1774549157
0.001,0,1,304,1016,294,294,30.4,0,1,10,1774549157
0.001,0,1,294,976,284,284,29.4,0,2,10,1774549157
0.001,0,1,284,936,274,274,28.4,0,3,10,1774549157
0.001,0,1,274,897,264,264,27.4,0,4,10,1774549157
0.001,0,1,264,858,254,254,26.4,0,5,10,1774549157
0.001,0,1,254,819,244,244,25.4,0,6,10,1774549157
0.001,0,1,244,782,234,234,24.4,0,7,10,1774549157
0.001,0,1,234,746,224,224,23.4,0,8,10,1774549157
0.001,0,1,224,712,214,214,22.4,0,9,10,1774549157
0.001,0,1,214,678,204,204,21.4,0,10,10,1774549157
0,0,1,204,644,194,194,20.4,0,11,10,1774549157
0.001,0,1,194,610,184,184,19.4,0,12,10,1774549157
0.001,0,1,205,641,195,195,20.5,0,13,10,1774549157
0.001,0,1,195,607,185,185,19.5,0,14,10,1774549157
0,0,1,185,574,175,175,18.5,0,15,10,1774549157
0.001,0,1,175,541,165,165,17.5,0,16,10,1774549157
0.001,1,2,211,652,181,180,19.1,1,17,10,1774549157
0.001,1,2,200,615,171,170,18.1,1,18,10,1774549157
0.001,1,2,189,577,161,160,17.1,1,19,10,1774549157
0,1,2,178,542,151,150,16.1,1,20,10,1774549157
0.001,2,4,268,830,178,176,18.8,2,21,10,1774549157
0.001,2,4,253,786,168,166,17.8,2,22,10,1774549157
0.006,5,5,1320,4172,-2,185,19.7,3,23,10,1774549157
0.005,5,5,1270,4030,-2,175,18.7,4,24,10,1774549157
0.003,5,5,1172,3804,-2,165,17.7,4,25,10,1774549157
0.006,5,5,1074,3488,-2,155,16.7,4,26,10,1774549157
0.003,3,3,745,2413,-2,146,15.7,3,27,10,1774549157
0.003,3,3,709,2304,-2,136,14.7,3,28,10,1774549157
0.003,3,3,673,2169,-2,126,13.7,3,29,10,1774549157
0.002,1,1,397,1265,-2,153,16.3,1,30,10,1774549157
0.001,1,1,397,1265,-2,159,16.9,2,31,10,1774549157
0.003,1,1,459,1497,-2,149,15.9,1,32,10,1774549157
0.002,1,1,437,1430,-2,139,14.9,1,33,10,1774549157
0.003,2,2,519,1691,-2,142,15.2,2,34,10,1774549157
0.004,2,2,490,1608,-2,132,14.2,2,35,10,1774549157
0.002,1,1,397,1310,-2,135,14.5,1,36,10,1774549157
0.002,1,1,375,1219,-2,125,13.5,1,37,10,1774549157
0.001,1,1,384,1236,-2,146,15.6,1,38,10,1774549157
0.002,1,1,362,1155,-2,136,14.6,1,39,10,1774549157
0.001,1,1,340,1088,-2,126,13.6,1,40,10,1774549157
0,0,1,126,399,116,116,12.6,0,41,10,1774549157
0,0,1,154,487,144,144,15.4,0,42,10,1774549157
0,0,1,168,531,158,158,16.8,0,43,10,1774549157
0,0,1,176,559,166,166,17.6,0,44,10,1774549157
0.001,0,1,166,522,156,156,16.6,0,45,10,1774549157
0.001,0,1,173,542,163,163,17.3,0,46,10,1774549157
0.001,0,1,179,559,169,169,17.9,0,47,10,1774549157
0.001,0,1,169,527,159,159,16.9,0,48,10,1774549157
0.001,1,1,410,1300,-2,166,17.6,1,49,10,1774549157
0.002,1,1,388,1237,-2,156,16.6,1,50,10,1774549157
0.002,1,1,366,1177,-2,146,15.6,1,51,10,1774549157
0.001,1,1,347,1123,-2,139,14.9,1,52,10,1774549157
0.001,1,1,325,1050,-2,129,13.9,1,53,10,1774549157
0.002,1,1,303,969,-2,119,12.9,2,54,10,1774549157
