0.001,1,2,159,539,124,122,25.8,1,0,5,1770310489
0.001,0,1,124,414,119,119,24.8,0,1,5,1770310489
0.001,0,1,119,394,114,114,23.8,0,2,5,1770310489
0.001,0,1,114,374,109,109,22.8,0,3,5,1770310489
0,0,1,109,354,104,104,21.8,0,4,5,1770310489
0.001,0,1,104,334,99,99,20.8,0,5,5,1770310489
0.002,0,1,99,315,94,94,19.8,0,6,5,1770310489
0.001,0,1,94,297,89,89,18.8,0,7,5,1770310489
0.001,0,1,89,279,84,84,17.8,0,8,5,1770310489
0,0,1,102,319,97,97,20.4,0,9,5,1770310489
0,0,1,97,302,92,92,19.4,0,10,5,1770310489
0,0,1,92,285,87,87,18.4,0,11,5,1770310489
0.002,0,1,87,268,82,82,17.4,0,12,5,1770310489
0.001,0,1,116,361,111,111,23.2,0,13,5,1770310489
0,1,2,126,391,107,106,22.4,1,14,5,1770310489
0.002,1,2,123,380,103,101,21.6,1,15,5,1770310489
0.001,1,2,117,364,98,96,20.6,1,16,5,1770310489
0.001,1,2,111,343,93,91,19.6,2,17,5,1770310489
0.001,2,4,162,504,88,86,18.6,2,18,5,1770310489
0.001,2,4,154,475,83,81,17.6,2,19,5,1770310489
0,2,4,146,447,78,76,16.6,2,20,5,1770310489
0.001,2,4,138,425,73,71,15.6,2,21,5,1770310489
0.002,2,4,130,399,68,66,14.6,2,22,5,1770310489
0.002,2,4,122,375,63,61,13.6,2,23,5,1770310489
0,1,2,81,247,58,56,12.6,1,24,5,1770310489
0.001,1,2,75,227,53,51,11.6,1,25,5,1770310489
0.001,1,2,69,208,48,46,10.6,1,26,5,1770310489
0.001,1,2,73,225,52,52,11.4,1,27,5,1770310489
0,0,1,92,293,87,87,18.4,0,28,5,1770310489
0.001,0,1,87,276,82,82,17.4,0,29,5,1770310489
0.001,0,1,99,311,94,94,19.8,0,30,5,1770310489
0,0,1,94,294,89,89,18.8,0,31,5,1770310489
0,0,1,89,277,84,84,17.8,0,32,5,1770310489
0.001,0,1,84,264,79,79,16.8,0,33,5,1770310489
0.001,0,1,79,247,74,74,15.8,0,34,5,1770310489
0,0,1,74,229,69,69,14.8,0,35,5,1770310489
0.001,0,1,87,272,82,82,17.4,0,36,5,1770310489
0.001,0,1,82,257,77,77,16.4,0,37,5,1770310489
0.001,0,1,77,240,72,72,15.4,0,38,5,1770310489
0,0,1,72,222,67,67,14.4,0,39,5,1770310489
0.001,0,1,67,206,62,62,13.4,0,40,5,1770310489
0.002,1,2,116,359,82,80,17.4,1,41,5,1770310489
0.002,1,2,110,337,77,75,16.4,1,42,5,1770310489
0.001,1,2,101,314,72,70,15.4,1,43,5,1770310489
0.001,1,2,92,288,67,65,14.4,1,44,5,1770310489
0.001,1,2,86,270,62,60,13.4,1,45,5,1770310489
0.001,1,2,80,250,57,55,12.4,1,46,5,1770310489
0.002,1,3,147,454,100,100,21,2,47,5,1770310489
0,0,1,100,311,95,95,20,0,48,5,1770310489
0.001,0,1,95,295,90,90,19,0,49,5,1770310489
0,0,1,90,279,85,85,18,0,50,5,1770310489
0,0,1,85,263,80,80,17,0,51,5,1770310489
0.001,0,1,80,249,75,75,16,0,52,5,1770310489
0.001,1,2,105,324,70,70,15,1,53,5,1770310489
0,1,2,107,328,73,73,15.6,1,54,5,1770310489
0.001,1,2,101,309,68,68,14.6,1,55,5,1770310489
0.001,1,2,95,290,63,63,13.6,1,56,5,1770310489
0,1,2,89,273,58,58,12.6,1,57,5,1770310489
0,1,2,83,250,53,53,11.6,1,58,5,1770310489
0.001,1,2,77,228,48,48,10.6,1,59,5,1770310489
0,1,2,71,209,43,43,9.6,1,60,5,1770310489
0.001,1,2,65,191,38,38,8.6,1,61,5,1770310489
0.002,1,2,79,231,54,54,11.8,1,62,5,1770310489
0,1,2,73,212,49,49,10.8,1,63,5,1770310489
0,0,1,65,193,60,60,13,0,64,5,1770310489
0,0,1,60,176,55,55,12,0,65,5,1770310489
0.001,1,2,158,466,95,89,20,2,66,5,1770310489
0.001,1,2,142,427,90,84,19,2,67,5,1770310489
0.001,3,6,293,804,100,94,21,3,68,5,1770310489
0.002,3,6,271,757,95,89,20,3,69,5,1770310489
0.003,3,6,267,734,90,84,19,3,70,5,1770310489
0.001,3,6,321,887,85,80,18,3,71,5,1770310489
0.001,3,6,237,678,80,76,17,3,72,5,1770310489
0.003,4,8,290,837,77,72,16.4,4,73,5,1770310489
0.002,2,5,182,519,77,68,16.4,3,74,5,1770310489
0.001,2,5,190,583,72,65,15.4,2,75,5,1770310489
0.001,1,2,83,249,68,63,14.6,1,76,5,1770310489
0.001,1,2,77,236,63,60,13.6,1,77,5,1770310489
0.002,1,2,71,218,58,56,12.6,1,78,5,1770310489
0.001,1,2,67,204,53,52,11.6,1,79,5,1770310489
0.001,0,1,68,207,63,63,13.6,0,80,5,1770310489
0,0,1,63,194,58,58,12.6,0,81,5,1770310489
0.001,0,1,85,270,80,80,17,0,82,5,1770310489
0.001,0,1,80,253,75,75,16,0,83,5,1770310489
0,0,1,75,236,70,70,15,0,84,5,1770310489
0.001,0,1,70,221,65,65,14,0,85,5,1770310489
0.001,0,1,65,205,60,60,13,0,86,5,1770310489
0,0,1,71,227,66,66,14.2,0,87,5,1770310489
0,1,3,115,369,80,80,17,1,88,5,1770310489
0.001,1,3,108,347,75,75,16,1,89,5,1770310489
0,1,2,92,291,72,70,15.4,1,90,5,1770310489
0.001,0,1,72,228,67,67,14.4,0,91,5,1770310489
0,0,1,67,211,62,62,13.4,0,92,5,1770310489
0,0,1,62,195,57,57,12.4,0,93,5,1770310489
0,0,1,57,179,52,52,11.4,0,94,5,1770310489
0.001,0,1,52,161,47,47,10.4,0,95,5,1770310489
0,1,2,85,244,58,54,12.6,1,96,5,1770310489
0,1,2,73,214,53,49,11.6,1,97,5,1770310489
0.001,1,2,66,194,48,44,10.6,1,98,5,1770310489
0.001,1,2,73,220,58,54,12.6,1,99,5,1770310489
