0.004,3,7,2026,6712,1520,1518,77,3,0,20,0
0.006,3,7,1991,6589,1500,1498,76,3,1,20,0
0.005,3,7,1962,6478,1480,1478,75,3,2,20,0
0.007,3,7,1994,6562,1460,1458,74,3,3,20,0
0.007,3,7,1965,6443,1440,1438,73,3,4,20,0
0.005,2,5,1719,5641,1420,1419,72,3,5,20,0
0.004,1,3,1626,5347,1436,1435,72.8,2,6,20,0
0.002,0,1,1436,4698,1416,1416,71.8,0,7,20,0
0.004,0,1,1416,4625,1396,1396,70.8,0,8,20,0
0.004,0,1,1396,4551,1376,1376,69.8,0,9,20,0
0.003,0,1,1376,4479,1356,1356,68.8,0,10,20,0
0.003,0,1,1356,4407,1336,1336,67.8,0,11,20,0
0.004,0,1,1353,4390,1333,1333,67.65,0,12,20,0
0.004,0,1,1333,4319,1313,1313,66.65,0,13,20,0
0.003,0,1,1313,4250,1293,1293,65.65,0,14,20,0
0.005,1,2,1357,4388,1275,1273,64.75,1,15,20,0
0.003,1,2,1353,4369,1272,1270,64.6,1,16,20,0
0.004,1,2,1332,4296,1252,1250,63.6,1,17,20,0
0.003,1,2,1323,4260,1244,1242,63.2,1,18,20,0
0.004,1,2,1318,4243,1240,1238,63,1,19,20,0
0.003,1,2,1369,4413,1256,1254,63.8,1,20,20,0
0.003,1,2,1348,4341,1236,1234,62.8,1,21,20,0
0.002,1,2,1327,4274,1216,1214,61.8,1,22,20,0
0.003,2,4,1454,4677,1207,1203,61.35,2,23,20,0
0.003,2,4,1467,4729,1223,1219,62.15,2,24,20,0
0.004,1,2,1289,4149,1203,1201,61.15,1,25,20,0
0.003,5,10,1809,5823,1228,1222,62.4,4,26,20,0
0.004,4,8,1654,5338,1208,1202,61.4,5,27,20,0
0.004,6,12,1916,6190,1224,1216,62.2,7,28,20,0
0.005,6,12,1909,6177,1228,1220,62.4,7,29,20,0
0.003,6,12,1878,6080,1208,1200,61.4,8,30,20,0
0.005,5,10,1712,5548,1188,1182,60.4,7,31,20,0
0.003,5,10,1737,5626,1222,1216,62.1,7,32,20,0
0.004,5,10,1735,5620,1229,1223,62.45,7,33,20,0
0.005,5,10,1706,5524,1209,1203,61.45,7,34,20,0
0.005,5,10,1697,5503,1199,1193,60.95,7,35,20,0
0.004,4,9,1712,5553,1179,1177,59.95,7,36,20,0
0.004,3,6,1607,5201,1195,1193,60.75,8,37,20,0
0.003,2,4,1506,4775,1176,1173,59.8,5,38,20,0
0.002,2,4,1474,4682,1156,1153,58.8,6,39,20,0
0.002,2,4,1442,4601,1136,1133,57.8,6,40,20,0
0.003,3,7,1659,5294,1155,1151,58.75,7,41,20,0
0.003,3,7,1625,5194,1135,1131,57.75,8,42,20,0
0.005,3,7,1603,5134,1130,1126,57.5,8,43,20,0
0.004,3,7,1566,5040,1110,1106,56.5,8,44,20,0
0.004,5,10,1708,5528,1115,1109,56.75,10,45,20,0
0.004,4,9,1626,5225,1123,1115,57.15,6,46,20,0
0.007,4,9,1662,5313,1139,1132,57.95,7,47,20,0
0.005,3,7,1489,4782,1119,1112,56.95,6,48,20,0
0.003,3,7,1483,4776,1112,1105,56.6,6,49,20,0
0.003,3,7,1481,4773,1119,1113,56.95,5,50,20,0
0.004,2,5,1355,4374,1124,1119,57.2,4,51,20,0
0.004,5,10,1721,5538,1103,1099,56.15,5,52,20,0
0.006,6,12,1801,5819,1083,1079,55.15,7,53,20,0
0.005,7,15,2046,6588,1091,1083,55.55,7,54,20,0
0.003,6,12,1622,5267,1077,1075,54.85,7,55,20,0
0.006,5,10,1609,5197,1086,1082,55.3,5,56,20,0
0.003,4,8,1508,4880,1087,1083,55.35,4,57,20,0
0.003,4,8,1479,4786,1067,1063,54.35,4,58,20,0
0.005,5,10,1750,5640,1081,1074,55.05,6,59,20,0
0.004,5,10,1742,5542,1063,1056,54.15,6,60,20,0
0.003,5,10,1573,5027,1043,1037,53.15,6,61,20,0
0.003,6,12,1681,5396,1046,1040,53.3,7,62,20,0
0.002,5,10,1602,5156,1051,1047,53.55,6,63,20,0
0.004,6,12,1656,5309,1034,1027,52.7,6,64,20,0
0.004,7,14,1764,5672,1057,1051,53.85,7,65,20,0
0.002,6,12,1678,5380,1065,1059,54.25,7,66,20,0
0.004,7,14,1874,5957,1079,1072,54.95,8,67,20,0
0.004,7,14,1827,5835,1059,1052,53.95,8,68,20,0
0.003,8,16,2029,6515,1064,1055,54.2,9,69,20,0
0.003,4,8,1460,4735,1044,1039,53.2,5,70,20,0
0.004,5,10,1688,5417,1042,1035,53.1,7,71,20,0
0.005,4,8,1605,5202,1061,1054,54.05,6,72,20,0
0.004,6,13,1963,6188,1046,1034,53.3,9,73,20,0
0.004,7,15,2260,7054,1051,1035,53.55,8,74,20,0
0.006,9,18,2778,8318,1085,1065,55.25,9,75,20,0
0.004,7,15,2350,7019,1066,1046,54.3,8,76,20,0
0.005,7,14,2015,6339,1060,1044,54,8,77,20,0
0.005,8,16,2196,6810,1083,1062,55.15,9,78,20,0
0.005,7,14,2118,6636,1062,1046,54.1,9,79,20,0
0.004,7,15,2048,6414,1042,1027,53.1,8,80,20,0
